Grupo,CIE-10,Defunciones,Porcentaje,Vigencia
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,43,12.6,2011
ENFERMEDADES CEREBROVASCULARES,1-069,34,10,2011
RESTO DE ENFERMEDADES DEL SISTEMA DIGESTIVO,1-081,33,9.7,2011
NEUMONIA,1-074,32,9.4,2011
TODAS LAS DEMAS CAUSAS EXTERNAS,1-103,23,6.7,2011
OTRAS ENFERMEDADES DEL CORAZON,1-068,22,6.5,2011
CAIDAS,1-097,13,3.8,2011
RESTO DE ENFERMEDADES DEL SISTEMA CIRCULATORIO,1-071,13,3.8,2011
RESTO DE TUMORES MALIGNOS,1-046,12,3.5,2011
SEPTICEMIA,1-012,11,3.2,2011
DIABETES MELLITUS,1-052,10,2.9,2011
ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO,1-083,10,2.9,2011
ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,1-076,9,2.6,2011
ENFERMEDADES HIPERTENSIVAS,1-066,7,2.1,2011
ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH),1-020,6,1.8,2011
RESTO DE ENFERMEDADES DEL SISTEMA RESPIRATORIO,1-077,5,1.5,2011
"TUMOR MALIGNMO DEL COLON, DEL RECTO Y DEL ANO",1-030,5,1.5,2011
RESTO DE ENFERMEDADES DEL SISTEMA GENITOURINARIO,1-086,5,1.5,2011
ULCERA GASTRICA Y DUODENAL,1-079,4,1.2,2011
"TUMOR MALIGNO DE LA TRAQUEA, DE LOS BRONQUIOS Y DEL PULMON",1-034,4,1.2,2011
SUB TOTAL OTRAS CAUSAS,N/A,40,11.7,2011
ENFERMEDADES ISQUEMICAS DEL CORAZON,1-067,48,14.3,2012
NEUMONIA,1-074,39,11.6,2012
OTRAS ENFERMEDADES DEL CORAZON,1-068,23,6.8,2012
RESTO DE ENFERMEDADES DEL SISTEMA DIGESTIVO,1-081,23,6.8,2012
ENFERMEDADES CEREBROVASCULARES,1-069,19,5.7,2012
TODAS LAS DEMAS CAUSAS EXTERNAS,1-103,15,4.5,2012
ENFERMEDADES CRONICAS DE LAS VIAS RESPIRATORIAS INFERIORES,1-076,13,3.9,2012
ACCIDENTES DE TRANSPORTE,1-096,10,3,2012
RESTO DE ENFERMEDADES DEL SISTEMA GENITOURINARIO,1-086,9,2.7,2012
CAIDAS,1-097,7,2.1,2012
DIABETES MELLITUS,1-052,6,1.8,2012
ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO,1-083,6,1.8,2012
RESTO DE TUMORES MALIGNOS,1-046,39,11.6,2012
ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH),1-020,5,1.5,2012
SEPTICEMIA,1-012,6,1.8,2012
RESTO DE ENFERMEDADES DEL SISTEMA NERVIOSO,1-061,4,1.2,2012
