iddepto,nomdepto,idmpio,nompio,tiporegimen,identidad,nomentidad,año,mes,total
91,91 - AMAZONAS,91001,91001 - LETICIA,CONTRIBUTIVO,EPS003,CAFESALUD  E.P.S.  S.A.,2017,Abril,13
91,91 - AMAZONAS,91001,91001 - LETICIA,CONTRIBUTIVO,EPS005,E.P.S.  SANITAS  S.A.,2017,Abril,6024
91,91 - AMAZONAS,91001,91001 - LETICIA,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,7473
91,91 - AMAZONAS,91001,91001 - LETICIA,CONTRIBUTIVO,EPS041,LA NUEVA EPS S.A.-CM,2017,Abril,27
91,91 - AMAZONAS,91001,91001 - LETICIA,CONTRIBUTIVO,EPSIC5,MALLAMAS-CM,2017,Abril,239
91,91 - AMAZONAS,91001,91001 - LETICIA,SUBSIDIADO,EPSI05,MALLAMAS,2017,Abril,12160
91,91 - AMAZONAS,91001,91001 - LETICIA,SUBSIDIADO,EPSM03,CAFESALUD  E.P.S.  S.A.-CM,2017,Abril,2
91,91 - AMAZONAS,91001,91001 - LETICIA,SUBSIDIADO,EPSS05,E.P.S.  SANITAS  S.A.-CM,2017,Abril,345
91,91 - AMAZONAS,91001,91001 - LETICIA,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,852
91,91 - AMAZONAS,91001,91001 - LETICIA,SUBSIDIADO,EPSS41,LA NUEVA EPS S.A.,2017,Abril,18613
91,91 - AMAZONAS,91263,91263 - EL ENCANTO (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,20
91,91 - AMAZONAS,91405,91405 - LA CHORRERA (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,27
91,91 - AMAZONAS,91407,91407 - LA PEDRERA (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,21
91,91 - AMAZONAS,91460,91460 - MIRITI-PARANÁ (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,11
91,91 - AMAZONAS,91530,91530 - PUERTO ALEGRÍA (CD.),SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,1
91,91 - AMAZONAS,91536,91536 - PUERTO ARICA (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,5
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,261
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,CONTRIBUTIVO,EPS041,LA NUEVA EPS S.A.-CM,2017,Abril,7
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,CONTRIBUTIVO,EPSIC5,MALLAMAS-CM,2017,Abril,40
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,SUBSIDIADO,EPSI05,MALLAMAS,2017,Abril,2317
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,SUBSIDIADO,EPSS37,NUEVA EPS S.A. -CM,2017,Abril,18
91,91 - AMAZONAS,91540,91540 - PUERTO NARIÑO,SUBSIDIADO,EPSS41,LA NUEVA EPS S.A.,2017,Abril,3464
91,91 - AMAZONAS,91669,91669 - PUERTO SANTANDER (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,11
91,91 - AMAZONAS,91798,91798 - TARAPACÁ (CD.),CONTRIBUTIVO,EPS037,LA NUEVA EPS S.A.,2017,Abril,41
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,CCFC55,CAJA DE DE COMPENSACION FAMILIAR  CAJACOPI ATLANTICO-CM,2017,Abril,1
05,05 - ANTIOQUIA,05001,05001 - MEDELLÍN,CONTRIBUTIVO,EAS016,EMPRESAS PUBLICAS DE MEDELLIN-DEPARTAMENTO MEDICO,2017,Abril,6418
